CustomerID,FirstName,LastName,Gender,BirthDate,JoinDate,PurchaseDate,ItemPurchased,QuantityPurchased,PurchaseAmount,Frequency,ReviewGiven
1,Customer1,Last1,Male,2005-06-09,2021-05-20,2021-12-13,Item_29,4,21.106376680625242,Monthly,5
1,Customer1,Last1,Male,2005-06-09,2021-05-20,2020-12-19,Item_30,2,90.310931545276,Monthly,5
1,Customer1,Last1,Male,2005-06-09,2021-05-20,2021-08-03,Item_18,1,83.64309398172621,Weekly,4
1,Customer1,Last1,Male,2005-06-09,2021-05-20,2020-08-28,Item_21,3,108.94594694850042,Weekly,4
1,Customer1,Last1,Male,2005-06-09,2021-05-20,2020-08-20,Item_27,2,36.186350840254725,Monthly,1
1,Customer1,Last1,Male,2005-06-09,2021-05-20,2020-07-28,Item_13,1,114.1809109080206,Daily,5
1,Customer1,Last1,Male,2005-06-09,2021-05-20,2021-05-08,Item_14,4,196.29819618021014,Weekly,3
1,Customer1,Last1,Male,2005-06-09,2021-05-20,2020-08-10,Item_15,1,126.61770957498281,Monthly,3
1,Customer1,Last1,Male,2005-06-09,2021-05-20,2020-11-16,Item_17,4,144.46078200281755,Daily,1
2,Customer2,Last2,Female,1991-09-28,2021-08-01,2021-10-20,Item_37,1,135.55582247685763,Weekly,1
2,Customer2,Last2,Female,1991-09-28,2021-08-01,2020-09-14,Item_7,2,93.06142387519704,Monthly,5
2,Customer2,Last2,Female,1991-09-28,2021-08-01,2020-08-31,Item_17,4,82.67999324636156,Monthly,5
3,Customer3,Last3,Male,2004-02-03,2020-05-17,2020-07-14,Item_30,2,101.64771249480239,Monthly,3
3,Customer3,Last3,Male,2004-02-03,2020-05-17,2020-09-24,Item_22,1,43.096733949868195,Monthly,4
3,Customer3,Last3,Male,2004-02-03,2020-05-17,2020-02-18,Item_24,3,31.053512814163337,Daily,5
3,Customer3,Last3,Male,2004-02-03,2020-05-17,2020-02-24,Item_22,2,138.89197634247694,Daily,3
3,Customer3,Last3,Male,2004-02-03,2020-05-17,2021-01-21,Item_17,3,123.88010347595743,Weekly,1
3,Customer3,Last3,Male,2004-02-03,2020-05-17,2020-11-19,Item_36,3,31.26782613409076,Monthly,3
3,Customer3,Last3,Male,2004-02-03,2020-05-17,2021-07-11,Item_14,3,69.83472183646386,Weekly,4
4,Customer4,Last4,Male,2019-01-10,2021-06-23,2021-10-13,Item_35,2,13.328038263791825,Daily,1
4,Customer4,Last4,Male,2019-01-10,2021-06-23,2020-03-19,Item_50,1,10.234969154287795,Weekly,5
4,Customer4,Last4,Male,2019-01-10,2021-06-23,2021-11-20,Item_26,1,43.89079101839267,Daily,5
4,Customer4,Last4,Male,2019-01-10,2021-06-23,2020-03-02,Item_35,2,69.50077901528365,Monthly,4
4,Customer4,Last4,Male,2019-01-10,2021-06-23,2021-11-02,Item_10,2,15.57919022945454,Daily,2
5,Customer5,Last5,Male,1992-03-26,2021-03-19,2021-05-24,Item_23,4,164.99224226581336,Daily,5
5,Customer5,Last5,Male,1992-03-26,2021-03-19,2020-03-24,Item_11,3,174.28547450667935,Weekly,2
5,Customer5,Last5,Male,1992-03-26,2021-03-19,2021-03-24,Item_30,4,27.81381492265576,Monthly,4
5,Customer5,Last5,Male,1992-03-26,2021-03-19,2020-12-19,Item_7,2,116.77864101869329,Monthly,2
5,Customer5,Last5,Male,1992-03-26,2021-03-19,2020-12-16,Item_29,2,198.4310972618894,Daily,3
5,Customer5,Last5,Male,1992-03-26,2021-03-19,2020-07-17,Item_39,2,60.02999891310802,Daily,3
6,Customer6,Last6,Female,1998-05-14,2021-09-14,2021-05-06,Item_23,4,188.76631770423234,Monthly,3
6,Customer6,Last6,Female,1998-05-14,2021-09-14,2021-04-20,Item_9,1,31.33782543813164,Monthly,2
6,Customer6,Last6,Female,1998-05-14,2021-09-14,2020-01-09,Item_8,1,169.5931562536147,Daily,3
6,Customer6,Last6,Female,1998-05-14,2021-09-14,2021-10-30,Item_33,2,92.6842758585178,Weekly,1
6,Customer6,Last6,Female,1998-05-14,2021-09-14,2021-09-10,Item_20,1,132.1081849577605,Daily,5
6,Customer6,Last6,Female,1998-05-14,2021-09-14,2020-10-07,Item_14,4,34.66702530082634,Monthly,4
7,Customer7,Last7,Male,2011-06-11,2021-07-15,2021-08-13,Item_10,2,124.35252289578162,Daily,4
7,Customer7,Last7,Male,2011-06-11,2021-07-15,2020-01-19,Item_10,1,47.782692777306224,Monthly,2
7,Customer7,Last7,Male,2011-06-11,2021-07-15,2020-10-27,Item_17,1,159.52432563435661,Daily,1
8,Customer8,Last8,Male,2014-09-27,2021-11-11,2021-03-23,Item_44,3,37.27304878748464,Monthly,3
8,Customer8,Last8,Male,2014-09-27,2021-11-11,2021-09-27,Item_37,1,166.25474957524102,Daily,3
8,Customer8,Last8,Male,2014-09-27,2021-11-11,2021-06-09,Item_16,2,45.19340484400784,Daily,5
8,Customer8,Last8,Male,2014-09-27,2021-11-11,2020-08-16,Item_48,1,105.21906984458185,Weekly,2
8,Customer8,Last8,Male,2014-09-27,2021-11-11,2020-04-05,Item_37,1,12.415829097509768,Daily,2
8,Customer8,Last8,Male,2014-09-27,2021-11-11,2020-07-25,Item_31,4,185.29838103668004,Weekly,2
